threshold,accuracy,precision,recall,f1,far,frr
4.5989700936388545e-09,0.55,0.5263157894736842,1.0,0.6896551724137931,0.9,0.0
5.086791432518112e-09,0.552,0.5274261603375527,1.0,0.6906077348066298,0.896,0.0
5.1061359584991806e-09,0.554,0.5285412262156448,1.0,0.6915629322268326,0.892,0.0
5.255334833975667e-09,0.556,0.5296610169491526,1.0,0.6925207756232687,0.888,0.0
5.662011748341911e-09,0.558,0.5307855626326964,1.0,0.6934812760055479,0.884,0.0
7.2127503969454665e-09,0.56,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
7.2387846827837166e-09,0.562,0.5330490405117271,1.0,0.6954102920723226,0.876,0.0
1.1207352379472013e-08,0.564,0.5341880341880342,1.0,0.6963788300835655,0.872,0.0
1.4257282465734988e-08,0.566,0.5353319057815846,1.0,0.697350069735007,0.868,0.0
1.4476416509978662e-08,0.568,0.5364806866952789,1.0,0.6983240223463687,0.864,0.0
1.6302617922292484e-08,0.57,0.5376344086021505,1.0,0.6993006993006993,0.86,0.0
1.674067995338646e-08,0.572,0.5387931034482759,1.0,0.7002801120448179,0.856,0.0
1.966445140055839e-08,0.574,0.5399568034557235,1.0,0.7012622720897616,0.852,0.0
2.0562819003089317e-08,0.576,0.5411255411255411,1.0,0.702247191011236,0.848,0.0
2.1617863055212183e-08,0.578,0.5422993492407809,1.0,0.7032348804500703,0.844,0.0
2.2990423786950487e-08,0.58,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
2.4105474949465133e-08,0.582,0.5446623093681917,1.0,0.7052186177715092,0.836,0.0
2.4504517526224845e-08,0.584,0.5458515283842795,1.0,0.7062146892655368,0.832,0.0
2.5349878640668067e-08,0.586,0.5470459518599562,1.0,0.7072135785007072,0.828,0.0
2.5576246898140198e-08,0.588,0.5482456140350878,1.0,0.7082152974504249,0.824,0.0
2.561598755335126e-08,0.59,0.5494505494505495,1.0,0.7092198581560284,0.82,0.0
3.079869514976963e-08,0.592,0.5506607929515418,1.0,0.7102272727272727,0.816,0.0
3.574033158315615e-08,0.594,0.5518763796909493,1.0,0.7112375533428165,0.812,0.0
3.684153071503715e-08,0.596,0.5530973451327433,1.0,0.7122507122507122,0.808,0.0
3.999011610744674e-08,0.598,0.5543237250554324,1.0,0.7132667617689016,0.804,0.0
4.359821303978606e-08,0.6,0.5555555555555556,1.0,0.7142857142857143,0.8,0.0
4.850798163147374e-08,0.602,0.5567928730512249,1.0,0.7153075822603719,0.796,0.0
4.989205137917452e-08,0.604,0.5580357142857143,1.0,0.7163323782234957,0.792,0.0
5.176457307243254e-08,0.606,0.5592841163310962,1.0,0.7173601147776184,0.788,0.0
5.231704847119545e-08,0.608,0.5605381165919282,1.0,0.7183908045977011,0.784,0.0
5.918977308283502e-08,0.61,0.5617977528089888,1.0,0.7194244604316546,0.78,0.0
6.437745980747422e-08,0.612,0.5630630630630631,1.0,0.7204610951008645,0.776,0.0
6.818549991294276e-08,0.614,0.5643340857787811,1.0,0.7215007215007215,0.772,0.0
6.84434908748699e-08,0.616,0.5656108597285068,1.0,0.7225433526011561,0.768,0.0
7.707913596277649e-08,0.618,0.5668934240362812,1.0,0.723589001447178,0.764,0.0
1.0829813845703029e-07,0.62,0.5681818181818182,1.0,0.7246376811594203,0.76,0.0
1.1118633125306587e-07,0.622,0.5694760820045558,1.0,0.7256894049346879,0.756,0.0
1.1349385431458359e-07,0.624,0.5707762557077626,1.0,0.7267441860465116,0.752,0.0
1.1501822427817388e-07,0.626,0.5720823798627003,1.0,0.727802037845706,0.748,0.0
1.1689391499203339e-07,0.628,0.573394495412844,1.0,0.7288629737609329,0.744,0.0
1.1713451186778912e-07,0.63,0.5747126436781609,1.0,0.7299270072992701,0.74,0.0
1.3105800178436766e-07,0.632,0.576036866359447,1.0,0.7309941520467836,0.736,0.0
1.5195081459751236e-07,0.634,0.5773672055427251,1.0,0.7320644216691069,0.732,0.0
1.5356567928392906e-07,0.636,0.5787037037037037,1.0,0.7331378299120235,0.728,0.0
1.6343116726602602e-07,0.638,0.580046403712297,1.0,0.7342143906020558,0.724,0.0
1.729739835809596e-07,0.64,0.5813953488372093,1.0,0.7352941176470589,0.72,0.0
1.8012022451330267e-07,0.642,0.5827505827505828,1.0,0.7363770250368189,0.716,0.0
1.8546073476954916e-07,0.644,0.5841121495327103,1.0,0.7374631268436578,0.712,0.0
1.8831772763405752e-07,0.646,0.585480093676815,1.0,0.7385524372230429,0.708,0.0
1.942318306191737e-07,0.648,0.5868544600938967,1.0,0.7396449704142012,0.704,0.0
2.3536865967344056e-07,0.65,0.5882352941176471,1.0,0.7407407407407407,0.7,0.0
